rbt; c1; c2; dist
[-0.18897706099997202, 0.0, -0.0, -0.0, 0.0, 0.18897706099997202, 0.0, 0.0, -0.0, 0.0, 0.066666666666666666, 0.0, 0.0, 0.0, 0.0, 1.0]; [0.017321, 0.066666666666666666, -0.0033333333333333335]; [-0.017321, 0.066666666666666666, 0.0033333333333333335]; 0.0352776502682
[-1.1571507643294493e-17, 0.0, -0.98198150207415458, -0.0, 0.0, 0.18897706099997202, 0.0, 0.0, -0.0, 0.0, 4.082155997157844e-18, 0.0, 0.0, 0.0, 0.0, 1.0]; [0.017321, 0.066666666666666666, -0.0033333333333333335]; [-0.017321, 0.066666666666666666, 0.0033333333333333335]; 0.0352776502682
[3.4714522929883477e-17, 0.0, 0.98198150207415458, -0.0, 0.0, 0.18897706099997202, 0.0, 0.0, 0.0, 0.0, -1.2246467991473531e-17, 0.0, 0.0, 0.0, 0.0, 1.0]; [0.017321, 0.066666666666666666, -0.0033333333333333335]; [-0.017321, 0.066666666666666666, 0.0033333333333333335]; 0.0352776502682
[0.0, 0.0, -0.0, -0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0, 0.066666666666666666, -0.0, 0.0, 0.0, 0.0, 1.0]; [0.017321, 0.066666666666666666, -0.0033333333333333335]; [-0.017321, 0.066666666666666666, -0.0033333333333333335]; 0.034642
[0.0, 0.0, -1.0, -0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0, 4.082155997157844e-18, -0.0, 0.0, 0.0, 0.0, 1.0]; [0.017321, 0.066666666666666666, -0.0033333333333333335]; [-0.017321, 0.066666666666666666, -0.0033333333333333335]; 0.034642
[-0.0, 0.0, 1.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.2246467991473531e-17, -0.0, 0.0, 0.0, 0.0, 1.0]; [0.017321, 0.066666666666666666, -0.0033333333333333335]; [-0.017321, 0.066666666666666666, -0.0033333333333333335]; 0.034642
[0.0, 0.0, -0.0, -0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0, 0.066666666666666666, 0.0, 0.0, 0.0, 0.0, 1.0]; [0.017321, 0.066666666666666666, 0.0033333333333333335]; [-0.017321, 0.066666666666666666, 0.0033333333333333335]; 0.034642
[0.0, 0.0, -1.0, -0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0, 4.082155997157844e-18, 0.0, 0.0, 0.0, 0.0, 1.0]; [0.017321, 0.066666666666666666, 0.0033333333333333335]; [-0.017321, 0.066666666666666666, 0.0033333333333333335]; 0.034642
[-0.0, 0.0, 1.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.2246467991473531e-17, 0.0, 0.0, 0.0, 0.0, 1.0]; [0.017321, 0.066666666666666666, 0.0033333333333333335]; [-0.017321, 0.066666666666666666, 0.0033333333333333335]; 0.034642
[0.18897706099997202, 0.0, -0.0, -0.0, 0.0, -0.18897706099997202, 0.0, 0.0, -0.0, 0.0, 0.066666666666666666, 0.0, 0.0, 0.0, 0.0, 1.0]; [0.017321, 0.066666666666666666, 0.0033333333333333335]; [-0.017321, 0.066666666666666666, -0.0033333333333333335]; 0.0352776502682
[1.1571507643294493e-17, 0.0, -0.98198150207415458, -0.0, 0.0, -0.18897706099997202, 0.0, 0.0, -0.0, 0.0, 4.082155997157844e-18, 0.0, 0.0, 0.0, 0.0, 1.0]; [0.017321, 0.066666666666666666, 0.0033333333333333335]; [-0.017321, 0.066666666666666666, -0.0033333333333333335]; 0.0352776502682
[-3.4714522929883477e-17, 0.0, 0.98198150207415458, -0.0, 0.0, -0.18897706099997202, 0.0, 0.0, 0.0, 0.0, -1.2246467991473531e-17, 0.0, 0.0, 0.0, 0.0, 1.0]; [0.017321, 0.066666666666666666, 0.0033333333333333335]; [-0.017321, 0.066666666666666666, -0.0033333333333333335]; 0.0352776502682
[0.18897706099997202, 0.0, -0.0, -0.0, 0.0, -0.18897706099997202, 0.0, 0.0, -0.0, 0.0, 0.13333333333333333, 0.0, 0.0, 0.0, 0.0, 1.0]; [0.017321, 0.13333333333333333, 0.0033333333333333335]; [-0.017321, 0.13333333333333333, -0.0033333333333333335]; 0.0352776502682
[1.1571507643294493e-17, 0.0, -0.98198150207415458, -0.0, 0.0, -0.18897706099997202, 0.0, 0.0, -0.0, 0.0, 8.1643119943156879e-18, 0.0, 0.0, 0.0, 0.0, 1.0]; [0.017321, 0.13333333333333333, 0.0033333333333333335]; [-0.017321, 0.13333333333333333, -0.0033333333333333335]; 0.0352776502682
