i; j; ival; jval
1035; 1595; [-0.006734666666666667, -0.0063946666666666666, 0.06707133333333333]; [0.002353333333333333, 0.008450333333333332, 0.06707133333333333]
1066; 2194; [0.0025143333333333333, -0.011794666666666667, 0.06907766666666666]; [0.002353333333333333, 0.008536666666666666, 0.07403266666666665]
1066; 3809; [0.0025143333333333333, -0.011794666666666667, 0.06907766666666666]; [0.0040936666666666665, 0.008111666666666666, 0.06881166666666667]
1066; 4408; [0.0025143333333333333, -0.011794666666666667, 0.06907766666666666]; [0.0040936666666666665, 0.008234666666666666, 0.07229233333333333]
1067; 3821; [0.001983, -0.007820333333333334, 0.058456666666666664]; [0.004252333333333333, 0.008443, 0.06172166666666667]
1072; 1595; [-8.3e-05, -0.010358666666666667, 0.067231]; [0.002353333333333333, 0.008450333333333332, 0.06707133333333333]
1072; 2194; [-8.3e-05, -0.010358666666666667, 0.067231]; [0.002353333333333333, 0.008536666666666666, 0.07403266666666665]
1072; 3809; [-8.3e-05, -0.010358666666666667, 0.067231]; [0.0040936666666666665, 0.008111666666666666, 0.06881166666666667]
1072; 4408; [-8.3e-05, -0.010358666666666667, 0.067231]; [0.0040936666666666665, 0.008234666666666666, 0.07229233333333333]
1075; 1595; [0.0014320000000000001, -0.009377666666666666, 0.06272733333333334]; [0.002353333333333333, 0.008450333333333332, 0.06707133333333333]
1075; 3809; [0.0014320000000000001, -0.009377666666666666, 0.06272733333333334]; [0.0040936666666666665, 0.008111666666666666, 0.06881166666666667]
1087; 3809; [-0.0035406666666666664, -0.008913666666666665, 0.06853833333333333]; [0.0040936666666666665, 0.008111666666666666, 0.06881166666666667]
1087; 4408; [-0.0035406666666666664, -0.008913666666666665, 0.06853833333333333]; [0.0040936666666666665, 0.008234666666666666, 0.07229233333333333]
1088; 1595; [-0.00293, -0.007445666666666666, 0.06178066666666667]; [0.002353333333333333, 0.008450333333333332, 0.06707133333333333]
1088; 1607; [-0.00293, -0.007445666666666666, 0.06178066666666667]; [0.002353333333333333, 0.008280999999999998, 0.063591]
1191; 1713; [0.003077, -0.012002666666666667, 0.07751333333333332]; [0.007574, 0.008196666666666666, 0.07751333333333332]
1191; 2197; [0.003077, -0.012002666666666667, 0.07751333333333332]; [0.007574, 0.008080333333333333, 0.07229233333333333]
1191; 3927; [0.003077, -0.012002666666666667, 0.07751333333333332]; [0.009314, 0.008047666666666667, 0.07925366666666667]
1191; 4408; [0.003077, -0.012002666666666667, 0.07751333333333332]; [0.0040936666666666665, 0.008234666666666666, 0.07229233333333333]
1191; 4411; [0.003077, -0.012002666666666667, 0.07751333333333332]; [0.009314, 0.008217, 0.07403266666666665]
1195; 1709; [0.012314333333333332, -0.015472333333333333, 0.076822]; [0.012794333333333333, 0.007979, 0.07925366666666667]
1195; 2195; [0.012314333333333332, -0.015472333333333333, 0.076822]; [0.012672000000000001, 0.008723666666666666, 0.072446]
1195; 3923; [0.012314333333333332, -0.015472333333333333, 0.076822]; [0.014534666666666668, 0.008334, 0.07751333333333332]
1195; 4409; [0.012314333333333332, -0.015472333333333333, 0.076822]; [0.014412333333333334, 0.008908666666666667, 0.07418633333333334]
1200; 1709; [0.007371666666666666, -0.013749333333333334, 0.07751333333333332]; [0.012794333333333333, 0.007979, 0.07925366666666667]
1200; 1713; [0.007371666666666666, -0.013749333333333334, 0.07751333333333332]; [0.007574, 0.008196666666666666, 0.07751333333333332]
1200; 2197; [0.007371666666666666, -0.013749333333333334, 0.07751333333333332]; [0.007574, 0.008080333333333333, 0.07229233333333333]
1200; 3927; [0.007371666666666666, -0.013749333333333334, 0.07751333333333332]; [0.009314, 0.008047666666666667, 0.07925366666666667]
1200; 4411; [0.007371666666666666, -0.013749333333333334, 0.07751333333333332]; [0.009314, 0.008217, 0.07403266666666665]
1203; 4408; [-0.0002323333333333333, -0.010073666666666667, 0.07751333333333332]; [0.0040936666666666665, 0.008234666666666666, 0.07229233333333333]
1207; 1713; [0.003719, -0.011376333333333334, 0.08195066666666667]; [0.007574, 0.008196666666666666, 0.07751333333333332]
1207; 3927; [0.003719, -0.011376333333333334, 0.08195066666666667]; [0.009314, 0.008047666666666667, 0.07925366666666667]
1210; 1713; [0.0016603333333333333, -0.010095333333333333, 0.08195066666666667]; [0.007574, 0.008196666666666666, 0.07751333333333332]
1210; 3927; [0.0016603333333333333, -0.010095333333333333, 0.08195066666666667]; [0.009314, 0.008047666666666667, 0.07925366666666667]
1211; 1713; [0.007422999999999999, -0.012003333333333333, 0.08424933333333334]; [0.007574, 0.008196666666666666, 0.07751333333333332]
1211; 3927; [0.007422999999999999, -0.012003333333333333, 0.08424933333333334]; [0.009314, 0.008047666666666667, 0.07925366666666667]
1223; 4408; [-0.0032099999999999997, -0.007666333333333334, 0.07738133333333333]; [0.0040936666666666665, 0.008234666666666666, 0.07229233333333333]
1595; 2181; [0.002353333333333333, 0.008450333333333332, 0.06707133333333333]; [-0.0010836666666666666, -0.010455666666666667, 0.072019]
1595; 3249; [0.002353333333333333, 0.008450333333333332, 0.06707133333333333]; [-0.005444, -0.007303666666666667, 0.068675]
1595; 3287; [0.002353333333333333, 0.008450333333333332, 0.06707133333333333]; [0.001744, -0.010316666666666667, 0.06487]
1595; 3301; [0.002353333333333333, 0.008450333333333332, 0.06707133333333333]; [-0.0021353333333333333, -0.009374666666666667, 0.06682833333333334]
1595; 3302; [0.002353333333333333, 0.008450333333333332, 0.06707133333333333]; [-0.0012883333333333334, -0.008622333333333333, 0.06348466666666666]
1607; 2181; [0.002353333333333333, 0.008280999999999998, 0.063591]; [-0.0010836666666666666, -0.010455666666666667, 0.072019]
1607; 3251; [0.002353333333333333, 0.008280999999999998, 0.063591]; [-0.005707, -0.006623666666666667, 0.06224366666666667]
1706; 3286; [0.0022786666666666667, 0.008029333333333333, 0.07930333333333334]; [-7.3e-05, -0.010785999999999999, 0.06894099999999999]
1709; 2182; [0.012794333333333333, 0.007979, 0.07925366666666667]; [0.007160666666666666, -0.013942666666666666, 0.07229233333333333]
1709; 3409; [0.012794333333333333, 0.007979, 0.07925366666666667]; [0.011775666666666665, -0.015134333333333333, 0.07849566666666667]
1709; 3411; [0.012794333333333333, 0.007979, 0.07925366666666667]; [0.013038666666666665, -0.015260000000000001, 0.08070500000000001]
1709; 3414; [0.012794333333333333, 0.007979, 0.07925366666666667]; [0.009240666666666666, -0.014152666666666666, 0.079187]
1709; 3425; [0.012794333333333333, 0.007979, 0.07925366666666667]; [0.009292, -0.013198666666666666, 0.08282866666666666]
1709; 4396; [0.012794333333333333, 0.007979, 0.07925366666666667]; [0.008698333333333334, -0.014502000000000001, 0.07403266666666666]
1713; 2178; [0.007574, 0.008196666666666666, 0.07751333333333332]; [0.002374, -0.012001999999999999, 0.07215566666666666]
1713; 3405; [0.007574, 0.008196666666666666, 0.07751333333333332]; [0.004645666666666666, -0.012398000000000001, 0.07925366666666667]
1713; 3417; [0.007574, 0.008196666666666666, 0.07751333333333332]; [0.0010183333333333335, -0.010434, 0.07925366666666667]
1713; 3421; [0.007574, 0.008196666666666666, 0.07751333333333332]; [0.004907333333333333, -0.011444666666666667, 0.08330466666666668]
1713; 4392; [0.007574, 0.008196666666666666, 0.07751333333333332]; [0.004265333333333333, -0.012794666666666668, 0.07403266666666666]
1718; 3411; [0.012794333333333333, 0.007368666666666667, 0.08257433333333335]; [0.013038666666666665, -0.015260000000000001, 0.08070500000000001]
1718; 3414; [0.012794333333333333, 0.007368666666666667, 0.08257433333333335]; [0.009240666666666666, -0.014152666666666666, 0.079187]
1718; 3425; [0.012794333333333333, 0.007368666666666667, 0.08257433333333335]; [0.009292, -0.013198666666666666, 0.08282866666666666]
1719; 3421; [0.007574, 0.007542, 0.08251599999999999]; [0.004907333333333333, -0.011444666666666667, 0.08330466666666668]
2178; 2194; [0.002374, -0.012001999999999999, 0.07215566666666666]; [0.002353333333333333, 0.008536666666666666, 0.07403266666666665]
2178; 2197; [0.002374, -0.012001999999999999, 0.07215566666666666]; [0.007574, 0.008080333333333333, 0.07229233333333333]
2178; 3809; [0.002374, -0.012001999999999999, 0.07215566666666666]; [0.0040936666666666665, 0.008111666666666666, 0.06881166666666667]
2178; 3927; [0.002374, -0.012001999999999999, 0.07215566666666666]; [0.009314, 0.008047666666666667, 0.07925366666666667]
2178; 4408; [0.002374, -0.012001999999999999, 0.07215566666666666]; [0.0040936666666666665, 0.008234666666666666, 0.07229233333333333]
2178; 4411; [0.002374, -0.012001999999999999, 0.07215566666666666]; [0.009314, 0.008217, 0.07403266666666665]
2181; 2194; [-0.0010836666666666666, -0.010455666666666667, 0.072019]; [0.002353333333333333, 0.008536666666666666, 0.07403266666666665]
2181; 3809; [-0.0010836666666666666, -0.010455666666666667, 0.072019]; [0.0040936666666666665, 0.008111666666666666, 0.06881166666666667]
2181; 4408; [-0.0010836666666666666, -0.010455666666666667, 0.072019]; [0.0040936666666666665, 0.008234666666666666, 0.07229233333333333]
2182; 2197; [0.007160666666666666, -0.013942666666666666, 0.07229233333333333]; [0.007574, 0.008080333333333333, 0.07229233333333333]
2182; 3815; [0.007160666666666666, -0.013942666666666666, 0.07229233333333333]; [0.009294666666666666, 0.008387, 0.06891466666666667]
2182; 4411; [0.007160666666666666, -0.013942666666666666, 0.07229233333333333]; [0.009314, 0.008217, 0.07403266666666665]
2185; 3809; [-0.003472666666666667, -0.008424333333333334, 0.073764]; [0.0040936666666666665, 0.008111666666666666, 0.06881166666666667]
2185; 4408; [-0.003472666666666667, -0.008424333333333334, 0.073764]; [0.0040936666666666665, 0.008234666666666666, 0.07229233333333333]
2194; 3286; [0.002353333333333333, 0.008536666666666666, 0.07403266666666665]; [-7.3e-05, -0.010785999999999999, 0.06894099999999999]
2194; 4387; [0.002353333333333333, 0.008536666666666666, 0.07403266666666665]; [-0.005408666666666667, -0.006864333333333333, 0.07296399999999999]
2197; 3405; [0.007574, 0.008080333333333333, 0.07229233333333333]; [0.004645666666666666, -0.012398000000000001, 0.07925366666666667]
2197; 4392; [0.007574, 0.008080333333333333, 0.07229233333333333]; [0.004265333333333333, -0.012794666666666668, 0.07403266666666666]
2197; 4396; [0.007574, 0.008080333333333333, 0.07229233333333333]; [0.008698333333333334, -0.014502000000000001, 0.07403266666666666]
3249; 3809; [-0.005444, -0.007303666666666667, 0.068675]; [0.0040936666666666665, 0.008111666666666666, 0.06881166666666667]
3280; 3815; [0.0044343333333333335, -0.012395999999999999, 0.06728266666666667]; [0.009294666666666666, 0.008387, 0.06891466666666667]
3280; 4411; [0.0044343333333333335, -0.012395999999999999, 0.06728266666666667]; [0.009314, 0.008217, 0.07403266666666665]
3283; 3815; [0.008254333333333334, -0.01445, 0.06918633333333334]; [0.009294666666666666, 0.008387, 0.06891466666666667]
3283; 4409; [0.008254333333333334, -0.01445, 0.06918633333333334]; [0.014412333333333334, 0.008908666666666667, 0.07418633333333334]
3286; 3809; [-7.3e-05, -0.010785999999999999, 0.06894099999999999]; [0.0040936666666666665, 0.008111666666666666, 0.06881166666666667]
3286; 4408; [-7.3e-05, -0.010785999999999999, 0.06894099999999999]; [0.0040936666666666665, 0.008234666666666666, 0.07229233333333333]
3287; 3809; [0.001744, -0.010316666666666667, 0.06487]; [0.0040936666666666665, 0.008111666666666666, 0.06881166666666667]
3301; 3809; [-0.0021353333333333333, -0.009374666666666667, 0.06682833333333334]; [0.0040936666666666665, 0.008111666666666666, 0.06881166666666667]
3302; 3809; [-0.0012883333333333334, -0.008622333333333333, 0.06348466666666666]; [0.0040936666666666665, 0.008111666666666666, 0.06881166666666667]
3405; 3927; [0.004645666666666666, -0.012398000000000001, 0.07925366666666667]; [0.009314, 0.008047666666666667, 0.07925366666666667]
3405; 4411; [0.004645666666666666, -0.012398000000000001, 0.07925366666666667]; [0.009314, 0.008217, 0.07403266666666665]
3409; 3923; [0.011775666666666665, -0.015134333333333333, 0.07849566666666667]; [0.014534666666666668, 0.008334, 0.07751333333333332]
3411; 3923; [0.013038666666666665, -0.015260000000000001, 0.08070500000000001]; [0.014534666666666668, 0.008334, 0.07751333333333332]
3411; 3932; [0.013038666666666665, -0.015260000000000001, 0.08070500000000001]; [0.014665333333333334, 0.006864666666666667, 0.08442100000000001]
3414; 3927; [0.009240666666666666, -0.014152666666666666, 0.079187]; [0.009314, 0.008047666666666667, 0.07925366666666667]
3414; 3932; [0.009240666666666666, -0.014152666666666666, 0.079187]; [0.014665333333333334, 0.006864666666666667, 0.08442100000000001]
3414; 4411; [0.009240666666666666, -0.014152666666666666, 0.079187]; [0.009314, 0.008217, 0.07403266666666665]
3417; 3927; [0.0010183333333333335, -0.010434, 0.07925366666666667]; [0.009314, 0.008047666666666667, 0.07925366666666667]
3421; 3927; [0.004907333333333333, -0.011444666666666667, 0.08330466666666668]; [0.009314, 0.008047666666666667, 0.07925366666666667]
3425; 3927; [0.009292, -0.013198666666666666, 0.08282866666666666]; [0.009314, 0.008047666666666667, 0.07925366666666667]
3437; 4408; [-0.0017076666666666666, -0.008317666666666668, 0.07925366666666667]; [0.0040936666666666665, 0.008234666666666666, 0.07229233333333333]
3809; 4399; [0.0040936666666666665, 0.008111666666666666, 0.06881166666666667]; [-0.002499, -0.009567333333333334, 0.072019]
3923; 4396; [0.014534666666666668, 0.008334, 0.07751333333333332]; [0.008698333333333334, -0.014502000000000001, 0.07403266666666666]
3927; 4392; [0.009314, 0.008047666666666667, 0.07925366666666667]; [0.004265333333333333, -0.012794666666666668, 0.07403266666666666]
3927; 4396; [0.009314, 0.008047666666666667, 0.07925366666666667]; [0.008698333333333334, -0.014502000000000001, 0.07403266666666666]
4392; 4411; [0.004265333333333333, -0.012794666666666668, 0.07403266666666666]; [0.009314, 0.008217, 0.07403266666666665]
4395; 4408; [-6.499999999999994e-05, -0.010849666666666667, 0.073896]; [0.0040936666666666665, 0.008234666666666666, 0.07229233333333333]
4396; 4411; [0.008698333333333334, -0.014502000000000001, 0.07403266666666666]; [0.009314, 0.008217, 0.07403266666666665]
4399; 4408; [-0.002499, -0.009567333333333334, 0.072019]; [0.0040936666666666665, 0.008234666666666666, 0.07229233333333333]
