i; j; ival; jval
0; 20; [0.017321, 0.06666666666666667, -0.0033333333333333335]; [-0.017321, 0.06666666666666667, 0.0033333333333333335]
0; 21; [0.017321, 0.06666666666666667, -0.0033333333333333335]; [-0.017321, 0.06666666666666667, -0.0033333333333333335]
1; 20; [0.017321, 0.06666666666666667, 0.0033333333333333335]; [-0.017321, 0.06666666666666667, 0.0033333333333333335]
1; 21; [0.017321, 0.06666666666666667, 0.0033333333333333335]; [-0.017321, 0.06666666666666667, -0.0033333333333333335]
2; 22; [0.017321, 0.13333333333333333, 0.0033333333333333335]; [-0.017321, 0.13333333333333333, -0.0033333333333333335]
2; 23; [0.017321, 0.13333333333333333, 0.0033333333333333335]; [-0.017321, 0.13333333333333333, 0.0033333333333333335]
3; 22; [0.017321, 0.13333333333333333, -0.0033333333333333335]; [-0.017321, 0.13333333333333333, -0.0033333333333333335]
3; 23; [0.017321, 0.13333333333333333, -0.0033333333333333335]; [-0.017321, 0.13333333333333333, 0.0033333333333333335]
4; 12; [-0.005773333333333333, 0.06666666666666667, 0.016666666666666666]; [0.005773333333333333, 0.06666666666666667, -0.016666666666666666]
4; 13; [-0.005773333333333333, 0.06666666666666667, 0.016666666666666666]; [0.011547, 0.06666666666666667, -0.013333333333333334]
5; 12; [-0.011547, 0.06666666666666667, 0.013333333333333334]; [0.005773333333333333, 0.06666666666666667, -0.016666666666666666]
5; 13; [-0.011547, 0.06666666666666667, 0.013333333333333334]; [0.011547, 0.06666666666666667, -0.013333333333333334]
6; 14; [-0.011547, 0.13333333333333333, 0.013333333333333334]; [0.011547, 0.13333333333333333, -0.013333333333333334]
6; 15; [-0.011547, 0.13333333333333333, 0.013333333333333334]; [0.005773333333333333, 0.13333333333333333, -0.016666666666666666]
7; 14; [-0.005773333333333333, 0.13333333333333333, 0.016666666666666666]; [0.011547, 0.13333333333333333, -0.013333333333333334]
7; 15; [-0.005773333333333333, 0.13333333333333333, 0.016666666666666666]; [0.005773333333333333, 0.13333333333333333, -0.016666666666666666]
8; 16; [-0.011547, 0.06666666666666667, -0.013333333333333334]; [0.011547, 0.06666666666666667, 0.013333333333333334]
8; 17; [-0.011547, 0.06666666666666667, -0.013333333333333334]; [0.005773333333333333, 0.06666666666666667, 0.016666666666666666]
9; 16; [-0.005773333333333333, 0.06666666666666667, -0.016666666666666666]; [0.011547, 0.06666666666666667, 0.013333333333333334]
9; 17; [-0.005773333333333333, 0.06666666666666667, -0.016666666666666666]; [0.005773333333333333, 0.06666666666666667, 0.016666666666666666]
10; 18; [-0.005773333333333333, 0.13333333333333333, -0.016666666666666666]; [0.005773333333333333, 0.13333333333333333, 0.016666666666666666]
10; 19; [-0.005773333333333333, 0.13333333333333333, -0.016666666666666666]; [0.011547, 0.13333333333333333, 0.013333333333333334]
11; 18; [-0.011547, 0.13333333333333333, -0.013333333333333334]; [0.005773333333333333, 0.13333333333333333, 0.016666666666666666]
11; 19; [-0.011547, 0.13333333333333333, -0.013333333333333334]; [0.011547, 0.13333333333333333, 0.013333333333333334]
